id,Domain,Goal,Plan
470,"[[-71.5282, 42.1334], [-71.128744, 41.69254475]]","MILFORD REGIONAL MEDICAL CENTER (MILFORD, MA) to Picard, Israel, House (Fall River, MA)","[['Drive west.', 'Turn left after 80 meters or 10-13 seconds.', 'Turn left onto Prospect Street/MA 140. Continue on MA 140.', 'Turn left onto Hartford Avenue East.', 'Take the I 495 South ramp on the right toward Taunton/Cape Cod.', 'Take exit 19B on the right onto MA 24 South toward Fall River.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left after 80 meters or 10-13 seconds.', 'Turn left onto Prospect Street/MA 140. Continue on MA 140.', 'Make a sharp right onto Bellingham Street.', 'Turn left onto Bates Street.', 'Turn right onto South Main Street/MA 126.', 'Bear right onto Paine Street.', 'Bear right onto Mendon Road.', 'Turn left onto Mendon Road/RI 122.', 'Bear left to stay on Mendon Road/RI 122.', 'Turn right onto RI 99 South/Woonsocket Industrial Highway.', 'Take the exit.', 'Keep left to take I 295 North toward Boston Massachusetts.', 'Keep left to take RI 146 South toward Smithfield/Lincoln.', 'Keep left to take RI 146 South toward Providence.', 'Take exit 36A on the right onto I 195 East toward East Providence/Cape Cod.', 'Keep left to stay on I 195 East toward Pawtucket Avenue/Seekonk MA.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left after 80 meters or 10-13 seconds.', 'Turn left onto Prospect Street/MA 140. Continue on MA 140.', 'Make a sharp right onto Bellingham Street.', 'Turn left onto Bates Street.', 'Turn right onto South Main Street/MA 126.', 'Turn right after 1059 meters or 50-61 seconds.', 'Turn left after 29 meters or 11-13 seconds.', 'Turn right onto South Main Street/MA 126.', 'Bear right onto Paine Street.', 'Bear right onto Mendon Road.', 'Turn left onto Mendon Road/RI 122.', 'Bear left to stay on Mendon Road/RI 122.', 'Turn right onto RI 99 South/Woonsocket Industrial Highway.', 'Take the exit.', 'Keep left to take I 295 North toward Boston Massachusetts.', 'Keep left to take RI 146 South toward Smithfield/Lincoln.', 'Keep left to take RI 146 South toward Providence.', 'Take exit 36A on the right onto I 195 East toward East Providence/Cape Cod.', 'Keep left to stay on I 195 East toward Pawtucket Avenue/Seekonk MA.', 'You have arrived at your destination.']]"
471,"[[-96.81580352783205, 46.92070007324219], [-96.78975067298548, 46.874394644661926]]","Hector International Airport (FARGO, ND) to Northern Pacific Railway Depot (Fargo, ND)","[['Drive northeast.', 'Bear right onto 32nd Avenue North.', 'Turn right onto North University Drive.', 'Turn left onto Main Avenue/I 94 Business/US 10.', 'You have arrived at your destination.'], ['Drive northeast.', 'Bear right onto 32nd Avenue North.', 'Turn right onto North University Drive.', 'Turn left onto 25th Avenue North.', 'Turn right onto Broadway.', 'Turn right onto Main Avenue/I 94 Business/US 10.', 'You have arrived at your destination.'], ['Drive northeast.', 'Bear right onto 32nd Avenue North.', 'Turn right onto North University Drive.', 'Turn left onto 25th Avenue North.', 'Turn right onto 10th Street North.', 'Turn left onto 19th Avenue North.', 'Turn right onto Broadway.', 'Turn right onto Main Avenue/I 94 Business/US 10.', 'You have arrived at your destination.']]"
472,"[[-95.11439932795136, 39.54663719690503], [-94.66251323, 38.93986624]]","Ramsay, Ronald and Dorcas, House (Atchison, KS) to PROMISE HOSPITAL OF OVERLAND PARK (OVERLAND PARK, KS)","[['Drive northwest on Riverview Drive.', 'Bear left onto Green Street.', 'Turn right onto South 3rd Street.', 'Turn left onto Spring Garden Street.', 'Turn right after 59 meters or 5-7 seconds.', 'Turn right onto South 4th Street.', 'Turn right onto US 59/Amelia Earhart Bridge. Continue on US 59.', 'Turn right toward Weston.', 'Turn left onto 273 Highway/MO 273.', 'Turn left to stay on 273 Highway/MO 273.', 'Turn right to take the I 29 South/US 71 South ramp toward Kansas City.', 'Take exit 17 on the right onto I 435 South toward Topeka.', 'Take exit 79 on the right toward Metcalf Avenue.', 'Turn left onto Metcalf Avenue.', 'Turn right onto West 103rd Street.', 'Turn right after 430 meters or 34-42 seconds.', 'Turn right after 230 meters or 33-40 seconds.', 'You have arrived at your destination.'], ['Drive northwest on Riverview Drive.', 'Bear left onto Green Street.', 'Turn left onto US 73/KS 7/US Highway 73.', 'Bear right toward MO 45 Spur/Farley.', 'Turn right toward MO 45 South/Parkville.', 'Turn right to take the I 435 South ramp toward Topeka.', 'Take exit 79 on the right toward Metcalf Avenue.', 'Turn left onto Metcalf Avenue.', 'Turn right onto West 103rd Street.', 'Turn right after 430 meters or 34-42 seconds.', 'Turn right after 230 meters or 33-40 seconds.', 'You have arrived at your destination.'], ['Drive northwest on Riverview Drive.', 'Bear left onto Green Street.', 'Turn left onto US 73/KS 7/US Highway 73.', 'Turn left to take the ramp.', 'Turn right to take the ramp.', 'Turn left onto US 73/KS 7/US Highway 73.', 'Bear right toward MO 45 Spur/Farley.', 'Turn right toward MO 45 South/Parkville.', 'Turn right to take the I 435 South ramp toward Topeka.', 'Take exit 79 on the right toward Metcalf Avenue.', 'Turn left onto Metcalf Avenue.', 'Turn right onto West 103rd Street.', 'Turn right after 430 meters or 34-42 seconds.', 'Turn right after 230 meters or 33-40 seconds.', 'You have arrived at your destination.']]"
473,"[[-71.50272240266992, 41.96349589999176], [-71.3151224, 41.484561]]","Mowry, Tyler, House (North Smithfield, RI) to Perry Mill (Newport, RI)","[['Drive south on Sayles Hill Road.', 'Bear left onto Iron Mine Hill Road.', 'Turn right onto RI 146 South/Eddie Dowling Highway.', 'Take the I 295/RI 116 exit on the right toward Warwick.', 'Keep right to take exit 8B onto I 295 South toward Warwick.', 'Keep left to take exit 24B onto RI 4 South toward North Kingstown.', 'Take the RI 138 East ramp on the right toward Jamestown/Newport.', 'Turn left onto JT Connell Connector/RI 138A.', 'Turn left onto JT Connell Highway.', 'Turn left onto Farewell Street.', 'Bear right onto Thames Street.', 'Keep right to stay on Thames Street.', ""Turn left onto America's Cup Avenue/RI 138A."", 'You have arrived at your destination.'], ['Drive south on Sayles Hill Road.', 'Bear left onto Iron Mine Hill Road.', 'Turn right onto RI 146 South/Eddie Dowling Highway.', 'Take exit 36A on the right onto I 195 East toward East Providence/Cape Cod.', 'Keep left to stay on I 195 East toward Pawtucket Avenue/Seekonk MA.', 'You have arrived at your destination.'], ['Drive south on Sayles Hill Road.', 'Bear left onto Iron Mine Hill Road.', 'Turn right onto RI 146 South/Eddie Dowling Highway.', 'Take exit 36A on the right onto I 195 East toward East Providence/Cape Cod.', 'Keep left to stay on I 195 East toward Pawtucket Avenue/Seekonk MA.', 'You have arrived at your destination.']]"
474,"[[-93.23194052, 44.97237352], [-93.21064793, 44.95854425]]","UNIVERSITY OF MINNESOTA MEDICAL CENTER-FAIRVIEW-EAST BANK-ER (MINNEAPOLIS, MN) to SHRINERS HOSPITAL FOR CHILDREN (MINNEAPOLIS, MN)","[['Drive east on Southeast Delaware Street.', 'Turn right onto Southeast Harvard Street.', 'Turn left onto East River Parkway.', 'Turn right to stay on East River Parkway.', 'Turn left onto Southeast Cecil Street.', 'Turn right after 81 meters or 11-13 seconds.', 'You have arrived at your destination.'], ['Drive east on Southeast Delaware Street.', 'Turn left onto Southeast Oak Street.', 'Turn right onto Southeast Washington Avenue/CR 122.', 'Turn right onto Southeast University Avenue/CR 36.', 'Turn right onto Southeast 27th Avenue/CR 5.', 'Bear left onto East River Parkway.', 'Turn left onto Southeast Cecil Street.', 'Turn right after 81 meters or 11-13 seconds.', 'You have arrived at your destination.'], ['Drive east on Southeast Delaware Street.', 'Turn left onto Southeast Walnut Street.', 'Turn right onto Southeast Washington Avenue/CR 122.', 'Turn right onto Southeast University Avenue/CR 36.', 'Turn right onto Southeast 27th Avenue/CR 5.', 'Bear left onto East River Parkway.', 'Turn left onto Southeast Cecil Street.', 'Turn right after 81 meters or 11-13 seconds.', 'You have arrived at your destination.']]"
475,"[[-71.36112256, 41.92408385], [-71.48576628091361, 42.4514393]]","ARBOUR FULLER HOSPITAL (ATTLEBORO, MA) to Walcott-Whitney House (Stow, MA)","[['Drive north.', 'Turn right onto Esker Lane.', 'Turn right onto May Street.', 'Turn left onto Washington Street/US 1.', 'Turn right onto Elm Street.', 'Turn left onto East Washington Street/US 1.', 'Turn left after 1532 meters or 78-96 seconds.', 'Turn right onto Park Street/MA 1A. Continue on MA 1A.', 'Take the I 495 North ramp on the right.', 'Take exit 70 on the right onto MA 117 toward Bolton/Stow.', 'Turn left onto Main Street/MA 117.', 'Keep left to stay on MA 117.', 'Bear left onto Crescent Street.', 'Bear left onto West Acton Road.', 'Turn right onto South Acton Road.', 'Turn left onto Tuttle Lane.', 'You have arrived at your destination.'], ['Drive north.', 'Turn right onto Esker Lane.', 'Turn left onto May Street.', 'Bear right onto Mendon Road.', 'Turn left onto Nate Whipple Highway/RI 120.', 'Turn right onto Diamond Hill Road/RI 114.', 'Turn left onto Pine Swamp Road/RI 114. Continue on RI 114.', 'Bear right onto Mendon Road.', 'Bear left onto Wrentham Street.', 'Turn right onto Pulaski Boulevard.', 'Turn left onto Center Street.', 'Turn right onto South Main Street/MA 126.', 'Turn left onto Mechanic Street/MA 126/MA 140. Continue on MA 126.', 'Turn right onto Hartford Avenue/MA 126.', 'Take the I 495 North ramp on the right.', 'Take exit 70 on the right onto MA 117 toward Bolton/Stow.', 'Turn left onto Main Street/MA 117.', 'Keep left to stay on MA 117.', 'Bear left onto Crescent Street.', 'Bear left onto West Acton Road.', 'Turn right onto South Acton Road.', 'Turn left onto Tuttle Lane.', 'You have arrived at your destination.'], ['Drive north.', 'Turn right onto Esker Lane.', 'Turn left onto May Street.', 'Bear right onto Mendon Road.', 'Turn left onto Nate Whipple Highway/RI 120.', 'Turn right onto Diamond Hill Road/RI 114.', 'Turn left onto Pine Swamp Road/RI 114.', 'Turn left after 2454 meters or 108-132 seconds.', 'Turn right after 19 meters or 4-5 seconds.', 'Turn left onto Pine Swamp Road/RI 114. Continue on RI 114.', 'Bear right onto Mendon Road.', 'Bear left onto Wrentham Street.', 'Turn right onto Pulaski Boulevard.', 'Turn left onto Center Street.', 'Turn right onto South Main Street/MA 126.', 'Turn left onto Mechanic Street/MA 126/MA 140. Continue on MA 126.', 'Turn right onto Hartford Avenue/MA 126.', 'Take the I 495 North ramp on the right.', 'Take exit 70 on the right onto MA 117 toward Bolton/Stow.', 'Turn left onto Main Street/MA 117.', 'Keep left to stay on MA 117.', 'Bear left onto Crescent Street.', 'Bear left onto West Acton Road.', 'Turn right onto South Acton Road.', 'Turn left onto Tuttle Lane.', 'You have arrived at your destination.']]"
476,"[[-118.21637058620688, 33.86977537931035], [-117.4393743, 33.92721645]]","Dominguez Ranch Adobe (Compton, CA) to PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER (RIVERSIDE, CA)","[['Drive south on South Alameda Street/CA 47.', 'Make a left U-turn to stay on South Alameda Street/CA 47.', 'Turn left to take the CA 91 East ramp toward Gardena Freeway.', 'Keep left to stay on CA 91.', 'Take the CA 91 exit on the right.', 'Take exit 44 on the right toward Green River Road.', 'Take exit 58 on the right toward Van Buren Boulevard.', 'Turn left onto Indiana Avenue.', 'Turn left onto Jackson Street.', 'Turn right after 1096 meters or 60-73 seconds.', 'Turn right after 100 meters or 21-26 seconds.', 'You have arrived at your destination.'], ['Drive south on South Alameda Street/CA 47.', 'Make a left U-turn to stay on South Alameda Street/CA 47.', 'Turn left to take the CA 91 East ramp toward Gardena Freeway.', 'Take the I 605 exit on the right toward San Gabriel River Freeway.', 'Keep right to take I 605 South.', 'Take the I 405 South/CA 22 East exit toward Garden Grove.', 'Keep left to take I 405 South/San Diego Freeway.', 'You have arrived at your destination.'], ['Drive south on South Alameda Street/CA 47.', 'Turn left to take the ramp.', 'Turn right onto East Del Amo Boulevard.', 'Turn left onto South Susana Road.', 'Turn right to take the I 710 South ramp toward Long Beach Freeway South/Long Beach.', 'Take exit 4 on the right onto I 405 South toward San Diego.', 'Keep left to take I 405 South toward San Diego.', 'Keep right to take I 405 South toward San Diego.', 'Keep left to take I 405 toward San Diego.', 'Keep right to take exit 21 onto CA 22 East/Garden Grove Freeway toward Garden Grove.', 'Keep left to stay on CA 22 East/Garden Grove Freeway.', 'Keep left to take exit 17C onto CA 55 North toward Anaheim/Riverside.', 'Bear right onto CA 55/Costa Mesa Freeway.', 'Keep left to take CA 91/Riverside Freeway.', 'Take exit 44 on the right toward Green River Road.', 'Take exit 58 on the right toward Van Buren Boulevard.', 'Turn left onto Indiana Avenue.', 'Turn left onto Jackson Street.', 'Turn right after 1096 meters or 60-73 seconds.', 'Turn right after 100 meters or 21-26 seconds.', 'You have arrived at your destination.']]"
477,"[[-86.58486999383001, 34.72982589017432], [-86.61962067730241, 34.79998018479502]]","Buildings at 104-128 S. Side Sq. (Huntsville, AL) to Phelps-Jones House (Huntsville, AL)","[['Drive northeast on South Side Square.', 'Turn left onto East Side Square.', 'Turn left onto Oakwood Avenue Northwest.', 'Turn right onto Pulaski Pike Northwest.', 'You have arrived at your destination.'], ['Drive northeast on South Side Square.', 'Turn left onto East Side Square.', 'Turn left onto US 72.', 'Turn right onto Memorial Parkway Northwest.', 'Turn left onto Winchester Road Northwest.', 'Turn right onto Pulaski Pike Northwest.', 'You have arrived at your destination.'], ['Drive northeast on South Side Square.', 'Turn left onto East Side Square.', 'Turn left onto US 72.', 'Turn right onto Memorial Parkway Northwest.', 'Turn left onto Winchester Road Northwest.', 'Turn right onto Pulaski Pike Northwest.', 'You have arrived at your destination.']]"
478,"[[-71.87453591, 42.9718711], [-70.8233032227, 43.0778999329]]","CROTCHED MOUNTAIN REHABILITATION CENTER (GREENFIELD, NH) to Portsmouth International at Pease Airport (PORTSMOUTH, NH)","[['Drive west.', 'Turn right onto Verney Drive.', 'Turn left to stay on Verney Drive.', 'Bear left onto South View Road.', 'Turn right onto Russell Road (Class VI).', 'Turn right onto Farrington Road.', 'Turn left onto Greenfield Road/NH 136. Continue on Greenfield Road.', 'Turn right onto Greenfield Road/NH 136.', 'Turn left onto NH 13.', 'Turn left onto Bedford Road.', 'Turn right to stay on Bedford Road.', 'Turn left onto Chestnut Hill Road.', 'Turn right onto NH 114.', 'Keep left to take I 93 North/NH 101 East toward Concord/Portsmouth.', 'Keep right to take exit 7 to stay on NH 101 toward Portsmouth.', 'Take exit 12 on the right onto I 95 toward Portsmouth.', 'Keep left to take I 95 North toward Portsmouth.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left onto Verney Drive.', 'Turn left onto Staff House Circle.', 'Turn right onto Gilbert Varney Drive.', 'Turn left to stay on Gilbert Varney Drive.', 'Turn left onto Crotched Mountain Road.', 'Turn right onto Sawmill Road/NH 31.', 'Turn right onto State Route 202/US 202/NH 31. Continue on US 202/NH 31.', 'Bear right onto Concord Street/US 202. Continue on US 202.', 'Turn right to take the NH 9 ramp.', 'Take the Hatfield Road exit on the right.', 'Turn left onto Hatfield Road.', 'Turn right to take the ramp.', 'Keep left toward Concord/Seacoast.', 'Stay straight to take the I 89 ramp.', 'Take the I 93 South Toll exit on the right toward Manchester/Boston.', 'Keep left to stay on I 93 South/Everett Turnpike.', 'Keep right to stay on I 93 South toward Salem/Boston.', 'Take exit 7 onto NH 101 East toward Seacoast/Portsmouth.', 'Take exit 12 on the right onto I 95 toward Portsmouth.', 'Keep left to take I 95 North toward Portsmouth.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left onto Verney Drive.', 'Turn left onto Staff House Circle.', 'Turn right onto Gilbert Varney Drive.', 'Turn left to stay on Gilbert Varney Drive.', 'Turn left onto Crotched Mountain Road.', 'Turn right onto Sawmill Road/NH 31.', 'Turn left after 4473 meters or 248-303 seconds.', 'Turn right after 17 meters or 3-4 seconds.', 'Turn left onto Sawmill Road/NH 31.', 'Turn right onto State Route 202/US 202/NH 31. Continue on US 202/NH 31.', 'Bear right onto Concord Street/US 202. Continue on US 202.', 'Turn right to take the NH 9 ramp.', 'Take the Hatfield Road exit on the right.', 'Turn left onto Hatfield Road.', 'Turn right to take the ramp.', 'Keep left toward Concord/Seacoast.', 'Stay straight to take the I 89 ramp.', 'Take the I 93 South Toll exit on the right toward Manchester/Boston.', 'Keep left to stay on I 93 South/Everett Turnpike.', 'Keep right to stay on I 93 South toward Salem/Boston.', 'Take exit 7 onto NH 101 East toward Seacoast/Portsmouth.', 'Take exit 12 on the right onto I 95 toward Portsmouth.', 'Keep left to take I 95 North toward Portsmouth.', 'You have arrived at your destination.']]"
479,"[[-71.4964111, 41.43107865], [-71.27485524508094, 41.6696956665322]]","SOUTH COUNTY HEALTH (WAKEFIELD, RI) to Bristol County Jail (Bristol, RI)","[['Drive west.', 'Turn left after 58 meters or 19-23 seconds.', 'Turn right after 5 meters or 3 seconds.', 'Turn left after 38 meters or 10-12 seconds.', 'Turn right onto Kenyon Avenue.', 'Turn right onto Salt Pond Road.', 'Turn right onto US 1.', 'Take the RI 138 East ramp on the right toward Jamestown/Newport.', 'Turn right onto Admiral Kalbfus Road.', 'Turn left onto Girard Avenue.', 'Turn right onto Coddington Highway.', 'Turn left onto RI 114/West Main Road. Continue on RI 114.', 'Keep left to stay on RI 114 toward Bristol.', 'Turn left onto Bristol Ferry Road/RI 114.', 'Turn left onto Mount Hope Bridge/RI 114. Continue on RI 114.', 'Keep left to stay on RI 114.', 'Turn right onto Court Street.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left after 58 meters or 19-23 seconds.', 'Turn right after 5 meters or 3 seconds.', 'Turn left after 38 meters or 10-12 seconds.', 'Turn right onto Kenyon Avenue.', 'Turn right onto Salt Pond Road.', 'Turn right onto US 1.', 'Keep left to take RI 4 North.', 'Keep right to take I 95 North toward Providence.', 'Take exit 36A on the right onto I 195 East toward East Providence/Cape Cod.', 'Keep left to stay on I 195 East toward Pawtucket Avenue/Seekonk MA.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left after 58 meters or 19-23 seconds.', 'Turn right after 5 meters or 3 seconds.', 'Turn left after 38 meters or 10-12 seconds.', 'Turn right onto Kenyon Avenue.', 'Turn right onto Salt Pond Road.', 'Turn right onto US 1.', 'Keep left to take RI 4 North.', 'Take exit 9A on the right onto RI 401 East toward East Greenwich.', 'Turn left to take the I 95 North ramp toward Providence.', 'Keep right to take I 95 North toward Providence.', 'Take exit 36A on the right onto I 195 East toward East Providence/Cape Cod.', 'Keep left to stay on I 195 East toward Pawtucket Avenue/Seekonk MA.', 'You have arrived at your destination.']]"
480,"[[-73.9851186, 40.29523893], [-74.2136014, 40.75460356]]","MONMOUTH MEDICAL CENTER (LONG BRANCH, NJ) to EAST ORANGE GENERAL HOSPITAL (EAST ORANGE, NJ)","[['Drive east.', 'Turn right onto Arthur Avenue.', 'Turn left onto Lowden Court.', 'Turn right onto 2nd Avenue.', 'Turn right onto Bath Avenue.', 'Turn right onto Norwood Avenue/CR 25.', 'Turn right onto Broadway.', 'Turn left onto Branchport Avenue.', 'Turn left onto Joline Avenue/NJ 36. Continue on NJ 36.', 'Stay straight to take the GSP ramp toward Garden State Parkway.', 'Keep right to take GSP Notrh toward Woodbridge.', 'Keep right to take GSP/Garden State Parkway.', 'Take exit 129 on the right onto I 95/NJTP toward New York City/Trenton.', 'Keep right at the fork.', 'Keep right to take I 95 North/NJTP North toward New York City.', 'Turn left after 17050 meters or 585-715 seconds.', 'Turn right onto I 95/New Jersey Turnpike.', 'Take exit 14-14C on the right onto US 1/US 9 toward Newark Airport.', 'Keep left to take exit 14 onto US 1/US 9 toward Newark Airport.', 'Take exit 14 on the right onto US 1/US 9 toward Newark Airport.', 'Take exit 14 onto US 1/US 9 toward Newark Airport.', 'Keep right to take I 78 West/Phillipsburg-Newark Expressway.', 'Take exit 55 on the right toward Hillside/Irvington.', 'Keep right at the fork.', 'Bear right onto Fabyan Place.', 'Turn left onto Nye Avenue.', 'Turn right onto Grove Street/CR 509.', 'Turn left onto South Orange Avenue/CR 510.', 'Bear right onto Maybaum Avenue.', 'Turn left onto Tremont Avenue.', 'Turn right onto North Munn Avenue.', 'Turn left onto Central Avenue/CR 508.', 'You have arrived at your destination.'], ['Drive east.', 'Turn left onto Arthur Avenue.', 'Turn left onto 2nd Avenue.', 'Exit the roundabout onto Broadway.', 'Turn right onto Liberty Street.', 'Turn right onto Atlantic Avenue/CR 29.', 'Turn left onto Florence Avenue/CR 33. Continue on CR 33.', 'Turn right onto Myrtle Avenue/CR 33. Continue on CR 33.', 'Turn left onto Silverside Avenue.', 'Turn right onto Oceanport Avenue/CR 11.', 'Keep left to take Branch Avenue.', 'Turn left onto Harding Road/CR 34.', 'Turn right onto Broad Street/CR 11.', 'Turn left onto Reckless Place.', 'Turn right onto Maple Avenue/NJ 35.', 'Turn left onto West Front Street/NJ 35/CR 10.', 'Bear right onto Riverside Avenue/NJ 35. Continue on Riverside Avenue.', 'Turn right onto NJ 35.', 'Keep left to take US 9 North.', 'Keep left to stay on US 9 North.', 'Take the GSP North exit toward NJTP.', 'Keep right to take I 95/NJTP toward New York City/Trenton.', 'Keep right at the fork.', 'Keep right to take I 95 North/NJTP North toward New York City.', 'Turn left after 17050 meters or 585-715 seconds.', 'Turn right onto I 95/New Jersey Turnpike.', 'Take exit 14-14C on the right onto US 1/US 9 toward Newark Airport.', 'Keep left to take exit 14 onto US 1/US 9 toward Newark Airport.', 'Take exit 14 on the right onto US 1/US 9 toward Newark Airport.', 'Take exit 14 onto US 1/US 9 toward Newark Airport.', 'Keep right to take I 78 West/Phillipsburg-Newark Expressway.', 'Take exit 55 on the right toward Hillside/Irvington.', 'Keep right at the fork.', 'Bear right onto Fabyan Place.', 'Turn left onto Nye Avenue.', 'Turn right onto Grove Street/CR 509.', 'Turn left onto South Orange Avenue/CR 510.', 'Bear right onto Maybaum Avenue.', 'Turn left onto Tremont Avenue.', 'Turn right onto North Munn Avenue.', 'Turn left onto Central Avenue/CR 508.', 'You have arrived at your destination.'], ['Drive east.', 'Turn left onto Arthur Avenue.', 'Turn left onto 2nd Avenue.', 'Exit the roundabout onto Broadway.', 'Turn right onto Liberty Street.', 'Turn right onto Atlantic Avenue/CR 29.', 'Turn left onto Florence Avenue/CR 33. Continue on CR 33.', 'Turn right onto Myrtle Avenue/CR 33. Continue on CR 33.', 'Turn left onto Rumson Road/CR 520.', 'Turn right onto Branch Avenue/CR 520/CR 11. Continue on Branch Avenue.', 'Turn left onto Harding Road/CR 34.', 'Turn right onto Broad Street/CR 11.', 'Turn left onto Reckless Place.', 'Turn right onto Maple Avenue/NJ 35.', 'Turn left onto West Front Street/NJ 35/CR 10.', 'Bear right onto Riverside Avenue/NJ 35. Continue on Riverside Avenue.', 'Turn right onto NJ 35.', 'Keep left to take US 9 North.', 'Keep left to stay on US 9 North.', 'Take the GSP North exit toward NJTP.', 'Keep right to take I 95/NJTP toward New York City/Trenton.', 'Keep right at the fork.', 'Keep right to take I 95 North/NJTP North toward New York City.', 'Turn left after 17050 meters or 585-715 seconds.', 'Turn right onto I 95/New Jersey Turnpike.', 'Take exit 14-14C on the right onto US 1/US 9 toward Newark Airport.', 'Keep left to take exit 14 onto US 1/US 9 toward Newark Airport.', 'Take exit 14 on the right onto US 1/US 9 toward Newark Airport.', 'Take exit 14 onto US 1/US 9 toward Newark Airport.', 'Keep right to take I 78 West/Phillipsburg-Newark Expressway.', 'Take exit 55 on the right toward Hillside/Irvington.', 'Keep right at the fork.', 'Bear right onto Fabyan Place.', 'Turn left onto Nye Avenue.', 'Turn right onto Grove Street/CR 509.', 'Turn left onto South Orange Avenue/CR 510.', 'Bear right onto Maybaum Avenue.', 'Turn left onto Tremont Avenue.', 'Turn right onto North Munn Avenue.', 'Turn left onto Central Avenue/CR 508.', 'You have arrived at your destination.']]"
481,"[[-73.16659472, 41.18937738], [-72.60785840641653, 41.71260668203578]]","BRIDGEPORT HOSPITAL (BRIDGEPORT, CT) to Welles, Gideon, House (Glastonbury, CT)","[['Drive southeast on Grant Street.', 'Turn right onto Prince Street.', 'Turn left onto Barnum Avenue.', 'Turn left onto Main Street/CT 113. Continue on Main Street.', 'Keep right to take CT 110.', 'Turn left to take the ramp.', 'Take exit 64B on the right onto I 91 North toward Hartford/Middletown.', 'Take exit 25-26 on the right onto CT 3 North toward Glastonbury.', 'Keep left to take exit 25 onto CT 3 North toward Glastonbury.', 'Take exit 13A on the right toward Main Street/Glastonbury.', 'Turn left onto Glastonbury Boulevard.', 'Turn right onto Main Street.', 'Turn left onto Hebron Avenue.', 'You have arrived at your destination.'], ['Drive southeast on Grant Street.', 'Turn right onto Prince Street.', 'Turn left onto Barnum Avenue.', 'Take the I 95 North ramp toward New Haven.', 'Take exit 46 on the right toward Long Wharf Drive/Sargent Drive.', 'Turn left onto Long Wharf Drive.', 'Bear left onto East Street.', 'Turn right onto Humphrey Street.', 'Turn left onto Ferry Street.', 'Turn right to take the I 91 North ramp toward Hartford.', 'Take exit 25-26 on the right onto CT 3 North toward Glastonbury.', 'Keep left to take exit 25 onto CT 3 North toward Glastonbury.', 'Take exit 13A on the right toward Main Street/Glastonbury.', 'Turn left onto Glastonbury Boulevard.', 'Turn right onto Main Street.', 'Turn left onto Hebron Avenue.', 'You have arrived at your destination.'], ['Drive southeast on Grant Street.', 'Turn right onto Prince Street.', 'Turn left onto Barnum Avenue.', 'Take the I 95 North ramp toward New Haven.', 'Take exit 46 on the right toward Long Wharf Drive/Sargent Drive.', 'Turn left onto Long Wharf Drive.', 'Bear left onto East Street.', 'Turn right onto Grand Avenue.', 'Turn left onto James Street.', 'Turn right onto Lombard Street.', 'Turn left onto Ferry Street.', 'Turn right to take the I 91 North ramp toward Hartford.', 'Take exit 25-26 on the right onto CT 3 North toward Glastonbury.', 'Keep left to take exit 25 onto CT 3 North toward Glastonbury.', 'Take exit 13A on the right toward Main Street/Glastonbury.', 'Turn left onto Glastonbury Boulevard.', 'Turn right onto Main Street.', 'Turn left onto Hebron Avenue.', 'You have arrived at your destination.']]"
482,"[[-78.00328, 35.384971], [-77.60880279540001, 35.331401825]]","Goldsboro Union Station (Goldsboro, NC) to Kinston Regional Jetport At Stallings Field (KINSTON, NC)","[['Drive north on North Carolina Street.', 'Turn left onto West Ash Street.', 'Turn right to take the US 13 North ramp.', 'Keep right to take US 70 East.', 'Take the NC 148 East ramp on the right toward C F Harvey Parkway/Global Transpark.', 'Take the exit on the right after 14169 meters or 437-535 seconds.', 'Turn right onto NC-58/NC 58.', 'Turn left onto Institute Road.', 'Turn left onto Tom White Road.', 'You have arrived at your destination.'], ['Drive north on North Carolina Street.', 'Turn left onto West Ash Street.', 'Turn right onto NC 581.', 'Keep right to take exit 22.', 'Keep right to take I 42/Goldsboro Bypass.', 'Take exit 44 on the right.', 'Turn left onto US 13.', 'Turn right onto Institute Road.', 'Turn left onto Tom White Road.', 'You have arrived at your destination.'], ['Drive north on North Carolina Street.', 'Turn left onto West Ash Street.', 'Turn right onto NC 581.', 'Keep right to take exit 22.', 'Keep right to take I 42/Goldsboro Bypass.', 'Take exit 44 on the right.', 'Turn left onto US 13.', 'Turn left onto West Greene Street.', 'Make a sharp left after 50 meters or 4-5 seconds.', 'Make a sharp left onto Kingold Boulevard/US 258 Truck/NC 58. Continue on NC 58.', 'Turn right onto Institute Road.', 'Turn left onto Tom White Road.', 'You have arrived at your destination.']]"
