id,start_name,destination_name,start_coordinates,destination_coordinates,plan_length_1,plan_length_2,plan_length_3,average_plan_length,plan_1,plan_2,plan_3
359,"Los Angeles International Airport (LOS ANGELES, CA)","MENIFEE VALLEY MEDICAL CENTER (SUN CITY, CA)","[-118.407997, 33.942501]","[-117.168033, 33.71950227]",22,39,19,26.666666666666668,"['Drive southeast on World Way.', 'Take the CA 1 exit on the right toward I 105/Sepulveda Boulevard.', 'Take the I 105 East ramp on the right toward Imperial Highway West.', 'Keep left to take I 105 East toward Norwalk.', 'Take the I 605 South exit on the right.', 'Keep right to take I 605 South.', 'Keep left to take I 605 South.', 'Take exit 7A on the right onto CA 91 East toward Artesia Freeway.', 'Keep left to take CA 91 East toward Artesia Freeway East.', 'Keep right to take CA 91/Riverside Freeway.', 'Keep left to stay on CA 91/Riverside Freeway.', 'Take exit 51 on the right onto I 15 South toward San Diego.', 'Keep right to take I 15 South toward San Diego.', 'Take exit 91 on the right toward Cajalco Road.', 'Turn left onto Cajalco Road.', 'Turn right to take the I 215 South ramp toward San Diego.', 'Take exit 12 on the right toward McCall Boulevard.', 'Turn left onto McCall Boulevard.', 'Turn left onto Hospital.', 'Turn right after 139 meters or 20-24 seconds.', 'Turn left after 8 meters or 5-6 seconds.', 'Your destination is on the right.']","['Drive southeast on World Way.', 'Bear left onto Century Boulevard.', 'Turn right onto Avalon Boulevard.', 'Turn left onto East 103rd Street.', 'Turn right onto Alameda Street.', 'Turn left onto Martin Luther King Junior Boulevard.', 'Bear left onto Norton Avenue.', 'Bear right after 189 meters or 17-21 seconds.', 'Turn left onto Imperial Highway.', 'Keep right to take CA 90.', 'Keep right to take Imperial Highway/CA 90.', 'Turn left onto Yorba Linda Boulevard.', 'Take the CA 91 East ramp on the right toward Riverside.', 'Keep left to stay on CA 91/Riverside Freeway.', 'Take exit 44 on the right toward Green River Road.', 'Turn right onto Green River Road.', 'Turn right to take the I 15 South ramp.', 'Take exit 91 on the right toward Cajalco Road.', 'Turn left onto Cajalco Road.', 'Turn right onto Clark Street.', 'Turn left onto San Jacinto Avenue.', 'Bear right onto Navajo Road.', 'Turn left onto CA 74 East.', 'Turn right onto A Street.', 'Turn left onto 11th Street.', 'Keep straight to take Case Road.', 'Bear left onto Mapes Road.', 'Turn right onto Bonnie Drive.', 'Turn right onto CA 74 East/Matthews Road.', 'Turn right onto Sherman Road.', 'Turn left onto Van Buren Avenue.', 'Bear left onto Ethanac Road.', 'Turn right onto Antelope Road.', 'Turn right to stay on Antelope Road.', 'Turn left onto Chambers Avenue.', 'Turn right onto Aspel Road.', 'Turn left after 113 meters or 52-64 seconds.', 'Turn right after 298 meters or 41-50 seconds.', 'Your destination is on the right.']","['Drive southeast on World Way.', 'Take the CA 1 exit on the right toward I 105/Sepulveda Boulevard.', 'Take the I 105 East ramp on the right toward Imperial Highway West.', 'Keep left to take I 105 East toward Norwalk.', 'Take the I 605 North exit on the right.', 'Keep left to take I 605 North.', 'Keep left to take I 605 North.', 'Take exit 19 on the right onto CA 60 East toward Pomona.', 'Keep right to take CA 60 East toward Pomona.', 'Keep left to stay on CA 60.', 'Keep left to take I 215/CA 60/Escondido Freeway.', 'Keep right to stay on I 215/CA 60/Escondido Freeway.', 'Keep right to stay on I 215.', 'Take exit 12 on the right toward McCall Boulevard.', 'Turn left onto McCall Boulevard.', 'Turn left onto Hospital.', 'Turn right after 139 meters or 20-24 seconds.', 'Turn left after 8 meters or 5-6 seconds.', 'Your destination is on the right.']"
360,"Derby Shop-Goodnow Pail Factory-Holman & Merriman Machine Shop-L. A. Carpenter Machine Shop-Streeter Shop (Hinsdale, NH)","LAKES REGION GENERAL HOSPITAL (LACONIA, NH)","[-72.47237353727768, 42.7877136685831]","[-71.46318101, 43.52855555]",14,23,16,17.666666666666668,"['Drive east on Canal Street/NH 119. Continue on NH 119.', 'Turn left onto Main Street/NH 10/NH 119. Continue on NH 10.', 'Enter the roundabout and take the 2nd exit toward NH 10 North/NH 12 North/Vermont.', 'Turn right onto NH 9/NH 10/NH 12/Route 9.', 'Keep right to stay on NH 9 toward Hillsborough/Henniker.', 'Keep left toward Concord/Seacoast.', 'Stay straight to take the I 89 ramp.', 'Keep left to stay on I 89 toward NH 3A/Bow Junction.', 'Turn left onto Route 3-A/NH 3A. Continue on NH 3A.', 'Take the I 93 North ramp on the right.', 'Take exit 20 on the right onto US 3/NH 11/NH 132/NH 140 toward Laconia/Tilton.', 'Turn left onto US 3/NH 11/NH 132/Laconia Road.', 'Turn right onto Elliott Street.', 'You have arrived at your destination.']","['Drive east on Canal Street/NH 119.', 'Bear right after 857 meters or 48-59 seconds.', 'Bear right onto Ashuelot Main Street/NH 119. Continue on NH 119.', 'Bear left onto Ashuelot Street.', 'Turn right onto Elm Street.', 'Turn left onto Keene Road/NH 10. Continue on NH 10.', 'Enter the roundabout and take the 2nd exit toward Winchester St/Keene.', 'Enter Winchester Street Roundabout and take the 2nd exit onto Winchester Street.', 'Enter the roundabout and take the 2nd exit onto Winchester Street.', 'Enter the roundabout and take the 2nd exit onto Main Street.', 'Turn right onto NH 9/NH 10/Route 9. Continue on NH 9.', 'Turn left onto Maple Street/NH 127.', 'Turn right onto Maple Street/NH 127. Continue on NH 127.', 'Turn left onto Main Street/NH 103. Continue on NH 103.', 'Bear right onto State Route 127/NH 127.', 'Bear right onto South Road/NH 127. Continue on NH 127.', 'Turn left onto Old South Main Street/NH 127.', 'Turn left onto South Main Street/US 3/NH 127.', 'Turn right onto US 3/NH 127/NH 11.', 'Turn right onto High Street.', 'Turn left after 214 meters or 24-29 seconds.', 'Turn right after 86 meters or 13-16 seconds.', 'You have arrived at your destination.']","['Drive west on Canal Street/NH 119.', 'Make a sharp right onto Chesterfield Road/NH 63. Continue on NH 63.', 'Turn right onto NH 9/Franklin Pierce Highway.', 'Enter the roundabout and take the 2nd exit onto NH 9/Franklin Pierce Highway.', 'Turn left onto NH 9/NH 10/NH 12/Route 9.', 'Keep right to stay on NH 9 toward Hillsborough/Henniker.', 'Take the I 89 North/US 202 East/NH 9 East exit on the right toward Hopkinton/Vermont.', 'Bear left onto Main Street/US 202/NH 9. Continue on US 202/NH 9.', 'Turn left onto North Main Street/US 3/US 202/NH 9.', 'Turn left to stay on North Main Street/US 3/US 202.', 'Turn right to stay on US 202.', 'Take exit 3 on the right onto NH 106 toward Laconia/Pembroke.', 'Turn left onto Sheep Davis Road/NH 106. Continue on NH 106.', 'Turn right onto Union Avenue/NH 11A/NH 107/US 3 Business.', 'Turn right onto Elliott Street.', 'You have arrived at your destination.']"
361,"Frost, Walter, House (Cambridge, MA)","Newman-Fiske-Dodge House (Wenham, MA)","[-71.1171723799392, 42.3860294]","[-70.91156231528424, 42.60401134999999]",18,41,11,23.333333333333332,"['Drive north on Frost Street.', 'Turn left onto Roseland Street.', 'Turn right onto Massachusetts Avenue/MA 2A.', 'Turn right onto Alewife Brook Parkway/MA 16.', 'Enter the roundabout and take the 2nd exit onto Mystic Valley Parkway/MA 16.', 'Bear left to stay on Mystic Valley Parkway/MA 16.', 'Take the I 93 North ramp toward Concord New Hampshire.', 'Keep left to take I 93 North toward Concord New Hampshire.', 'Take exit 28A on the right onto I 95 North toward Peabody.', 'Keep left to take exit 64 to stay on MA 128 North/Yankee Division Highway toward Gloucester.', 'Keep left to stay on MA 128 North/Yankee Division Highway.', 'Take exit 43 on the right onto MA 62 toward Middleton.', 'Turn left onto Elliott Street/MA 62.', 'Turn right onto State Road.', 'Bear left onto Burley Street.', 'Turn left onto Old Burley Street.', 'Turn right onto Maple Street.', 'Your destination is on the left.']","['Drive north on Frost Street.', 'Turn left onto Roseland Street.', 'Turn right onto Massachusetts Avenue/MA 2A.', 'Turn right onto Beech Street.', 'Bear right after 179 meters or 17-21 seconds.', 'Bear left onto Willow Avenue.', 'Turn left onto Appleton Street.', 'Turn right onto Liberty Avenue.', 'Turn left onto Broadway.', 'Enter Powder House Square and take the 2nd exit onto College Avenue.', 'Turn right to stay on College Avenue.', 'Turn right onto George Street.', 'Turn left onto Main Street.', 'Turn left onto Main Street/MA 38. Continue on Main Street.', 'Turn right onto Riverside Avenue/MA 60.', 'Keep left to take City Hall Mall/MA 60.', 'Turn left to stay on City Hall Mall/MA 60.', 'Turn right onto Salem Street/MA 60.', 'Enter Salem Street Circle and take the 2nd exit onto Fountain Street Connector.', 'Take the I 93 North ramp toward Concord New Hampshire.', 'Take exit 24 on the right onto MA 28 toward Fellsway West/Winchester.', 'Enter Roosevelt Circle and take the 2nd exit onto Fellsway West/MA 28.', 'Turn right onto Elm Street.', 'Enter Middlesex Rotary and take the 2nd exit onto Woodland Road.', 'Turn right onto Pond Street.', 'Turn left onto Lynn Fells Parkway.', 'Take the US 1 exit on the right.', 'Take the MA 129 East exit on the right toward Lynn/Swampscott.', 'Take the MA 129 East ramp toward Lynn/Swampscott.', 'Keep right to take MA 129 East toward Lynn/Swampscott.', 'Continue on US 1.', 'Keep right to take I 95 North toward Portsmouth New Hampshire.', 'Take exit 67A on the right onto MA 114 East toward Peabody.', 'Turn left onto Garden Street.', 'Turn left onto Prince Street.', 'Turn left onto Centre Street.', 'Turn right onto Hobart Street.', 'Turn left onto Maple Street/MA 35.', 'Turn right onto Locust Street/MA 35.', 'Turn right onto Wenham Street.', 'Your destination is on the left.']","['Drive north on Frost Street.', 'Turn left onto Roseland Street.', 'Turn right onto Massachusetts Avenue/MA 2A.', 'Turn right onto US 3/MA 2A/MA 60/Mystic Street. Continue on US 3.', 'Take the I 95 North/MA 128 North ramp on the right toward Peabody/Portsmouth New Hampshire.', 'Keep left to take exit 64 to stay on MA 128 North/Yankee Division Highway toward Gloucester.', 'Keep left to stay on MA 128 North/Yankee Division Highway.', 'Take exit 45B on the right onto MA 1A North toward Hamilton/Beverly Regional Airport.', 'Bear right onto MA 1A/Dodge Street. Continue on MA 1A.', 'Turn left onto Cherry Street.', 'Your destination is on the right.']"
362,"Naval Station Mayport / Admiral David L McDonald Field (JACKSONVILLE, FL)","Jacksonville Naval Air Station (Towers Field) (JACKSONVILLE, FL)","[-81.424698, 30.3911]","[-81.680603, 30.2358]",22,34,29,28.333333333333332,"['Drive southwest on Patrol Road.', 'Turn right onto Perimeter Road.', 'Turn left onto FL A1A.', 'Turn right onto Wonderwood Drive/FL 116. Continue on FL 116.', 'Turn left onto Kernan Boulevard North.', 'Take the exit on the right after 4381 meters or 201-245 seconds.', 'Take the Kernan Boulevard ramp.', 'Take the Kernan Boulevard ramp.', 'Take the I 295 South ramp.', 'Keep right to stay on East Beltway.', 'Keep right to take I 295 South/East Beltway.', 'Keep right to stay on I 295 South/East Beltway toward Orange Park.', 'Take exit 10 on the right onto US 17 toward Roosevelt Boulevard.', 'Keep right to take US 17 North toward Roosevelt Boulevard.', 'Turn right onto Yorktown Avenue.', 'Turn left onto Allegheny Road.', 'Turn right after 504 meters or 37-45 seconds.', 'Turn left onto Albermarle Avenue.', 'Turn left onto Patrol Road.', 'Turn right after 234 meters or 31-37 seconds.', 'Turn right after 323 meters or 47-58 seconds.', 'Your destination is on the left.']","['Drive southwest on Patrol Road.', 'Turn right onto Perimeter Road.', 'Turn left onto FL A1A.', 'Turn right onto Wonderwood Drive/FL 116. Continue on FL 116.', 'Turn left onto Monument Road.', 'Turn right onto Treddick Parkway.', 'Turn left after 726 meters or 64-79 seconds.', 'Take the ramp toward Arlington Expressway/Southside Boulevard.', 'Take the FL 115 North exit on the right toward Arlington Expressway/Downtown.', 'Bear right toward Service Road/Arlington Road.', 'Bear left toward FL 109/Downtown/University Boulevard South.', 'Bear right toward Sports Complex/A. Philip/Randolph Boulevard.', 'Turn left onto Albert Street.', 'Turn left onto Palmetto Street.', 'Turn right onto East Monroe Street.', 'Turn left onto North Liberty Street.', 'Turn right onto East Bay Street.', 'Bear left onto Jefferson Street.', 'Turn left onto King Street/FL 211.', 'Turn right onto Saint Johns Avenue/FL 211. Continue on Saint Johns Avenue.', 'Bear right onto Herschel Street/FL 211.', 'Turn left to stay on Herschel Street/FL 211.', 'Enter the roundabout and take the 2nd exit onto Herschel Street/FL 211.', 'Turn left onto San Juan Avenue/FL 211.', 'Turn right onto Ortega Boulevard.', 'Turn left onto US 17/Roosevelt Boulevard.', 'Turn left onto 120th Street.', 'Turn right onto Allegheny Road.', 'Turn left after 198 meters or 40-49 seconds.', 'Turn left onto Albermarle Avenue.', 'Turn left onto Patrol Road.', 'Turn right after 234 meters or 31-37 seconds.', 'Turn right after 323 meters or 47-58 seconds.', 'Your destination is on the left.']","['Drive northeast on Patrol Road.', 'Turn left to stay on Patrol Road.', 'Turn left onto Ocean Street.', 'Bear left onto Ocean Street/FL A1A. Continue on FL A1A.', 'Turn right onto Mayport Road/FL A1A.', 'Keep right to stay on Mayport Road/FL A1A.', 'Turn left to take the ramp.', 'Make a sharp left to stay on Atlantic Boulevard.', 'Turn left onto Atlantic Boulevard/FL 10.', 'Turn right onto Kings Avenue/US 1/US 90.', 'Turn left onto Prudential Drive/US 1/US 90. Continue on Prudential Drive.', 'Turn right onto San Marco Boulevard/FL 13.', 'Turn left to take the FL 13 North ramp toward Acosta Bridge.', 'Keep left toward I 95/Broad Street.', 'Keep right toward I 95/Broad Street.', 'Turn left onto West Bay Street.', 'Take the I 95 South ramp on the right.', 'Keep right to stay on US 17/FL 228 toward Lake City.', 'Keep left to stay on US 17/FL 228 toward Lake City.', 'Keep left to take I 10 West toward Lake City.', 'Take exit 361 onto US 17 South toward FL 228/Roosevelt Boulevard/NAS Jacksonsville.', 'Turn left onto Yorktown Avenue.', 'Turn left onto Allegheny Road.', 'Turn right after 504 meters or 37-45 seconds.', 'Turn left onto Albermarle Avenue.', 'Turn left onto Patrol Road.', 'Turn right after 234 meters or 31-37 seconds.', 'Turn right after 323 meters or 47-58 seconds.', 'Your destination is on the left.']"
363,"Lehigh Valley International Airport (ALLENTOWN, PA)","LANSDALE HOSPITAL (LANSDALE, PA)","[-75.442797, 40.651773]","[-75.271421, 40.2503]",15,18,15,16.0,"['Drive southwest.', 'Turn left after 471 meters or 76-93 seconds.', 'Turn right onto Hayden Circle.', 'Bear left onto Postal Road.', 'Turn right onto Airport Road/PA 987 South.', 'Take the US 22 East ramp on the right toward Bethlehem.', 'Take the PA 378 South exit on the right toward Bethlehem.', 'Keep right to take PA 378 South toward Bethlehem.', 'Keep left to stay on PA 378 South/Fred B. Rooney Highway.', 'Turn left onto PA 309 South.', 'Keep left to take PA 309 South/Sellersville Bypass.', 'Turn right onto North Broad Street.', 'Turn left onto Medical Campus Drive.', 'Turn right after 356 meters or 76-92 seconds.', 'Your destination is on the right.']","['Drive southwest.', 'Turn left after 799 meters or 129-158 seconds.', 'Turn right onto Postal Road.', 'Turn left onto North Irving Street.', 'Turn right onto East Fairmont Street.', 'Turn left onto North Godfrey Street.', 'Turn right onto East Tilghman Street.', 'Turn left onto North Graham Street.', 'Turn right onto East Dent Street.', 'Turn left after 39 meters or 9-11 seconds.', 'Turn right onto Hanover Avenue.', 'Keep left to take Union Street.', 'Turn left onto South 3rd Street.', 'Keep right to take Bethlehem Pike toward Sellersville/Perkasie.', 'Turn right onto North Line Street.', 'Turn right onto Medical Campus Drive.', 'Turn right to stay on Medical Campus Drive.', 'Your destination is on the right.']","['Drive southwest.', 'Turn left after 799 meters or 129-158 seconds.', 'Turn left onto Postal Road.', 'Turn right onto Airport Road/PA 987 South.', 'Take the US 22 West ramp on the right toward Harrisburg.', 'Take the PATP/I 476 Toll exit on the right toward Philadelphia.', 'Keep right to take I 476 South toward Philadelphia.', 'Take exit 31 on the right onto PA 63 toward Harleysville/Kulpsville.', 'Turn left onto Sumneytown Pike/PA 63. Continue on Sumneytown Pike.', 'Turn left onto Forty Foot Road/PA 63.', 'Turn right onto Welsh Road/PA 63. Continue on PA 63.', 'Turn left onto North Broad Street.', 'Turn right onto Medical Campus Drive.', 'Turn right after 356 meters or 79-97 seconds.', 'Your destination is on the right.']"
364,"SANPETE VALLEY HOSPITAL (MOUNT PLEASANT, UT)","MOUNTAIN VIEW HOSPITAL (PAYSON, UT)","[-111.4610951, 39.53123669]","[-111.7142853, 40.04404603]",11,13,14,12.666666666666666,"['Drive northeast.', 'Turn left after 24 meters or 3-4 seconds.', 'Turn left after 32 meters or 4-5 seconds.', 'Turn right after 59 meters or 9-11 seconds.', 'Turn left onto Medical Drive.', 'Turn right onto Highway 89/US 89. Continue on US 89.', 'Turn left onto US 6/US 89. Continue on US 6.', 'Turn left onto East Powerhouse Road.', 'Turn left onto SR-198/UT 198. Continue on UT 198.', 'Turn left after 5650 meters or 253-309 seconds.', 'Your destination is on the right.']","['Drive northeast.', 'Turn left after 24 meters or 3-4 seconds.', 'Turn left after 32 meters or 4-5 seconds.', 'Turn right after 59 meters or 9-11 seconds.', 'Turn left onto Medical Drive.', 'Turn right onto Highway 89/US 89. Continue on US 89.', 'Turn left onto US 6/US 89. Continue on US 6.', 'Turn left to take the I 15 South ramp.', 'Take exit 244 on the right onto Main Street.', 'Turn left onto Main Street/US 6. Continue on Main Street.', 'Turn left onto Old US Highway 6/UT 198. Continue on UT 198.', 'Turn right after 10208 meters or 549-671 seconds.', 'Your destination is on the right.']","['Drive northeast.', 'Turn left after 24 meters or 3-4 seconds.', 'Turn left after 32 meters or 4-5 seconds.', 'Turn right after 59 meters or 9-11 seconds.', 'Turn left onto Medical Drive.', 'Turn right onto Highway 89/US 89. Continue on US 89.', 'Turn left onto Main Street/UT 116.', 'Turn right onto East 700 North.', 'Turn right onto North Main Street/I 15 Bus/UT 28. Continue on I 15 Bus/UT 28.', 'Turn left onto Mona Road.', 'Turn right onto Summit Ridge Parkway.', 'Turn left onto Highland Drive.', 'Turn right after 14177 meters or 807-986 seconds.', 'Your destination is on the right.']"
365,"EVANSTON HOSPITAL (EVANSTON, IL)","Clarke, Henry B., House (Chicago, IL)","[-87.68471277, 42.0655335]","[-87.62251753265271, 41.8574830305696]",22,26,10,19.333333333333332,"['Drive east.', 'Turn right onto Ridge Avenue.', 'Turn left onto Central Street.', 'Turn right onto Sheridan Road.', 'Turn left to stay on Sheridan Road.', 'Bear right onto Forest Place.', 'Bear left onto Forest Avenue.', 'Turn left onto Hamilton Street.', 'Turn right onto Sheridan Road.', 'Turn left to stay on Sheridan Road.', 'Turn left to stay on Sheridan Road.', 'Bear right onto North Sheridan Road.', 'Bear left onto West Sheridan Road.', 'Turn left onto North Jean Baptiste Point DuSable Lake Shore Drive.', 'Take the exit on the right toward Grand Avenue/Illinois Street/Navy Pier/Wacker Drive.', 'Turn right onto East Grand Avenue.', 'Turn left onto North Lower Michigan Avenue.', 'Turn left onto East Lower Wacker Drive.', 'Take the exit on the right toward Lake Shore Drive South/US 41 South.', 'Turn right onto East Roosevelt Road.', 'Turn left onto South Indiana Avenue.', 'Your destination is on the right.']","['Drive east.', 'Turn right onto Ridge Avenue.', 'Turn left onto Central Street.', 'Turn right onto Sherman Avenue.', 'Turn left onto Elgin Road.', 'Turn right onto Clark Street.', 'Turn right onto Sheridan Road.', 'Bear right onto Forest Place.', 'Bear left onto Forest Avenue.', 'Turn left onto Hamilton Street.', 'Turn right after 179 meters or 21-26 seconds.', 'Turn right onto Main Street.', 'Turn left onto Michigan Avenue.', 'Turn left onto Keeney Street.', 'Turn left onto Sheridan Road.', 'Bear right onto North Sheridan Road.', 'Bear left onto West Sheridan Road.', 'Turn left onto West Bryn Mawr Avenue.', 'Stay straight to take the North Jean Baptiste Point DuSable Lake Shore Drive ramp.', 'Bear right toward Montrose Avenue.', 'Bear left onto North Marine Drive.', 'Bear left toward US 41 South.', 'Bear right toward IL 64 West/LaSalle Drive/North Avenue.', 'Turn left after 5436 meters or 426-521 seconds.', 'Turn right onto South Indiana Avenue.', 'Your destination is on the right.']","['Drive east.', 'Turn right onto Ridge Avenue.', 'Turn right onto West Howard Street.', 'Turn left onto Skokie Boulevard/US 41.', 'Turn left onto Lincoln Avenue/US 41. Continue on US 41.', 'Turn left onto West Foster Avenue/US 41.', 'Take the US 41 South/LMCT ramp on the right.', 'Turn right onto East Roosevelt Road.', 'Turn left onto South Indiana Avenue.', 'Your destination is on the right.']"
366,"Salt Lake City International Airport (SALT LAKE CITY, UT)","Ogden Hinckley Airport (OGDEN, UT)","[-111.979866, 40.78886]","[-112.0120010376, 41.195899963379]",17,21,16,18.0,"['Drive north.', 'Turn left after 40 meters or 5-6 seconds.', 'Turn left onto West 1200 North.', 'Turn right onto 4000 West.', 'Turn left to take the I 215 North ramp toward Ogden.', 'Keep left to take exit 26 onto UT 67 North/Legacy Parkway.', 'Keep right to take exit 13 onto I 15 North toward Ogden.', 'Keep left to take exit 13 onto I 15 North toward Ogden.', 'Take exit 338 on the right onto UT 97/5600 South.', 'Turn left onto 5600 South/UT 97.', 'Turn right onto 1900 West/UT 126.', 'Turn right onto Riverdale Road/UT 26.', 'Turn left onto Airport Road.', 'Enter the roundabout and take the 2nd exit onto Airport Road.', 'Turn left onto West 3900 South.', 'Turn right after 141 meters or 20-24 seconds.', 'You have arrived at your destination.']","['Drive north.', 'Turn left after 40 meters or 5-6 seconds.', 'Turn left onto West 1200 North.', 'Turn right onto 4000 West.', 'Turn left to take the I 215 North ramp toward Ogden.', 'Keep left to take exit 26 onto UT 67 North/Legacy Parkway.', 'Keep right to take exit 13 onto I 15 North toward Ogden.', 'Keep left to take exit 13 onto I 15 North toward Ogden.', 'Take exit 335 on the right onto UT 103 toward 650 North.', 'Keep left to take UT 103 toward 650 North.', 'Take exit 338 on the right onto UT 97/5600 South.', 'Keep right to take exit 339 onto UT 26 toward I 84 East/Riverdale Road.', 'Keep right to take UT 26 East toward Riverdale.', 'Bear right onto Riverdale Road/UT 26.', 'Turn left onto 1500 West.', 'Bear right onto Cozydale Drive.', 'Enter the roundabout and take the 2nd exit onto 4400 South.', 'Enter the roundabout and take the 2nd exit onto Airport Road.', 'Turn left onto West 3900 South.', 'Turn right after 141 meters or 20-24 seconds.', 'You have arrived at your destination.']","['Drive north.', 'Turn left after 40 meters or 5-6 seconds.', 'Turn left onto West 1200 North.', 'Turn right onto 4000 West.', 'Turn left to take the I 215 North ramp toward Ogden.', 'Keep right to stay on I 215 North/Belt Route.', 'Bear right onto I 15 North/Veterans Memorial Highway.', 'Keep left to take I 15 North/US 89/Veterans Memorial Highway.', 'Keep right to take exit 324 to stay on US 89 toward South Ogden.', 'Keep right to take Washington Boulevard/US 89.', 'Turn left onto 30th Street/UT 79.', 'Keep left to stay on UT 79.', 'Turn left onto Airport Road.', 'Turn right onto West 3900 South.', 'Turn right after 141 meters or 22-27 seconds.', 'You have arrived at your destination.']"
367,"MASSACHUSETTS GENERAL HOSPITAL (BOSTON, MA)","Hapgood, Richard, House (Cambridge, MA)","[-71.0693, 42.3626]","[-71.10965588557863, 42.370826084827655]",10,9,8,9.0,"['Drive west on Fruit Street.', 'Turn right onto MA 3/Charles Street. Continue on MA 3.', ""Keep left to take MA 28 toward O'Brien Highway."", 'Bear right toward Washington Street.', 'Make a left U-turn to stay on McGrath Highway.', 'Turn right onto Somerville Avenue.', 'Turn left onto Prospect Street.', 'Turn right onto Broadway.', 'Turn left onto Dana Street.', 'You have arrived at your destination.']","['Drive west on Fruit Street.', 'Turn right onto MA 3/Charles Street. Continue on MA 3.', ""Keep left to take MA 28 toward O'Brien Highway."", 'Turn left onto Cambridge Street.', 'Turn right to stay on Cambridge Street.', 'Turn left onto Ellsworth Avenue.', 'Turn right onto Broadway.', 'Turn left onto Dana Street.', 'You have arrived at your destination.']","['Drive west on Fruit Street.', 'Turn right onto MA 3/Charles Street. Continue on MA 3.', ""Keep left to take MA 28 toward O'Brien Highway."", 'Bear right toward Washington Street.', 'Turn left onto Washington Street.', 'Bear left onto Prospect Street.', 'Turn right onto Harvard Street.', 'You have arrived at your destination.']"
368,"U.S. Courthouse and Post Office (Huntsville, AL)","Caldwell Building (Anniston, AL)","[-86.614721, 34.7284659]","[-85.829674, 33.65722]",11,29,10,16.666666666666668,"['Drive south on Holmes Ave Access Road Northwest.', 'Turn left onto Holmes Avenue Northwest.', 'Bear right after 381 meters or 22-26 seconds.', 'Bear right onto Triana Boulevard Northwest.', 'Turn left onto Governors Drive Southwest/AL 53.', 'Turn right onto US 278/US 431/5th Avenue Northwest. Continue on US 431.', 'Turn right onto Old US Highway 431 North.', 'Bear right to stay on Old US Highway 431 North.', 'Turn right onto East 11th Street.', 'Turn left onto Noble Street.', 'Your destination is on the left.']","['Drive south on Holmes Ave Access Road Northwest.', 'Turn left onto Holmes Avenue Northwest.', 'Turn right onto Woodson Street Northwest.', 'Enter Monroe Street Southwest and take the 2nd exit onto Davis Circle Southwest.', 'Turn right onto Gallatin Street Southwest.', 'Turn left onto US 431/Governors Drive Southwest. Continue on US 431.', 'Turn right onto AL 77.', 'Turn left onto Green Valley Road.', 'Turn right onto Matt Smith Road.', 'Turn right onto Peeks Hill Road/CR 17.', 'Turn right onto Sugar Valley Road.', 'Turn left onto AL 144.', 'Turn right onto US 431.', 'Keep right to take Old Gadsden Highway.', 'Enter the roundabout and take the 2nd exit onto Old Gadsden Highway.', 'Turn right after 2677 meters or 121-148 seconds.', 'Bear left onto Alexandria Road.', 'Bear right onto Cooper Avenue.', 'Turn left onto West 19th Street.', 'Turn right after 47 meters or 6-7 seconds.', 'Turn left onto West 18th Street.', 'Turn right onto Mulberry Avenue.', 'Turn left onto West 16th Street.', 'Turn right after 56 meters or 8-9 seconds.', 'Turn left onto West 14th Street.', 'Turn right after 218 meters or 20-24 seconds.', 'Turn left onto West 10th Street.', 'Turn left onto Noble Street.', 'Your destination is on the right.']","['Drive south on Holmes Ave Access Road Northwest.', 'Turn right onto Holmes Avenue Northwest.', 'Turn left onto Jordan Lane Northwest/AL 53. Continue on AL 53.', 'Turn left to stay on AL 53.', 'Turn right onto US 278/US 431/5th Avenue Northwest. Continue on US 431.', 'Make a sharp left onto US 431/Henry Road.', 'Turn left to stay on Henry Road.', 'Turn left onto East 10th Street.', 'Turn right onto Noble Street.', 'Your destination is on the right.']"
